Titre,XP,Tri,M,M1,M2
RBL,13.0833333333333,ALA,0,6,7
B1,28.5,ALA,0,0,0
A2,19.0833333333333,ALA,0,0,0
B1,10.25,ALA,0,0,2
B1,7.25,ALA,0,0,4
B1,13.6666666666667,ALA,0,0,0
A3,36.4166666666667,ALA,7,23,19
A2,10.6666666666667,ALA,0,0,0
RBL,11.9166666666667,OGB,0,0,0
B1,10.25,OGB,0,0,19
A3,7.33333333333333,OGB,0,0,0
B1,8.5,OGB,0,0,0
B1,9.91666666666667,OGB,0,0,0
B1,18.6666666666667,OGB,0,0,9
A2,4.25,IKA,0,0,0
A2,4,IKA,3,0,0
B1,10.4166666666667,JFB,0,0,9
B1,9.41666666666667,JFB,0,0,9
B1,15.5833333333333,IKA,0,3,0
A2,4,IKA,0,0,0
A3,5.16666666666667,IKA,0,3,9
A3,5.33333333333333,IKA,0,2,19
B1,21.5,JFB,5,10,9
A2,4.91666666666667,FMA,0,0,0
B1,7.5,FMA,0,0,0
A3,7.41666666666667,FMA,0,0,9
A3,3,FMA,0,0,5
RD,12.3333333333333,FMA,0,9,9
B1,6.5,FMA,0,5,6
A3,14.6666666666667,FMA,0,4,7
B1,11.5,FAU,0,0,1
A3,25.5,FAU,0,0,4.5
A3,5.33333333333333,FAU,0,0,19
A2,4.25,FAU,0,0,0
A2,3.91666666666667,FAU,0,0,0
B1,15.5,FAU,0,0,9
A2,3.33333333333333,FAU,0,0,0
A2,4.08333333333333,FAU,0,0,9
A3,4.41666666666667,FAU,0,10,9
A3,16.4166666666667,FLN,0,20.5,14
A2,0.583333333333333,FLN,6,6,19
B1,9.91666666666667,FLN,0,3,12
A2,4.25,FLN,0,0,0
A1,2.08333333333333,FLN,0,0,0
A3,10.3333333333333,FPL,0,0,0
A3,20.9166666666667,FPL,0,0,14
A3,23.75,FPL,0,0,0
A3,5.33333333333333,FPL,0,0,0
A2,4.41666666666667,FPL,0,0,0
A3,7.08333333333333,FPL,0,0,19
A2,17.0833333333333,FPL,0,0,0
A2,3.5,FPL,0,0,0
A2,3,FPL,0,0,19
B1,20.1666666666667,FPL,0,0,19
RD,15.75,FPL,0,5,12
A3,13.6666666666667,FPL,0,0,0
A2,3.33333333333333,FPL,0,0,0
A1,1.5,FPL,0,0,19
A2,2.5,FPL,0,0,0
B1,4.16666666666667,MMU,0,11,7
A3,14.4166666666667,MMU,0,0,13
A2,1.08333333333333,MMU,0,0,0
A2,3.33333333333333,MMU,0,17,16
A3,3.33333333333333,MMU,0,4,10
A2,4.91666666666667,MMU,0,0,0
A2,4.91666666666667,MMU,0,12,9
A2,2.33333333333333,MMU,1,0,0
B1,7.58333333333333,OGB,0,0,0
A3,6.5,PBO,0,0,0
A2,2.25,PBO,0,0,19
A3,4.16666666666667,PBO,0,11,17
A3,4.08333333333333,PBO,0,0,0
A3,4.91666666666667,PBO,0,0,0
A1,3.08333333333333,PBO,0,0,19
A1,2.5,PBO,0,0,0
A1,2,PBO,0,0,19
A2,4.33333333333333,PBO,0,0,18
A3,5.08333333333333,PBO,0,13,14
A2,1.41666666666667,PBO,0,0,0
B1,6,MSB,0,0,0
A2,3.33333333333333,MSB,0,0,0
B1,18.8333333333333,JFB,0,0,0
B1,8.41666666666667,MRC,0,1,13
A3,6.41666666666667,MRC,0,0,0
A3,5.5,MRC,0,0,0
A3,5.33333333333333,MRC,0,7,19
A2,5.25,MRC,0,0,0
A2,4.41666666666667,MRC,0,0,0
A2,3.5,MRC,0,0,0
A2,3.41666666666667,MRC,0,0,0
A2,3.08333333333333,MRC,0,0,0
A2,2.25,MRC,0,0,19
A1,1.33333333333333,MRC,3.5,6.5,0
B1,8.5,OGB,0,11,3
A2,3.91666666666667,JGR,0,0,0
A2,3.41666666666667,JGR,0,0,7
A2,4.16666666666667,JGR,0,0,0
A2,1.75,JGR,0,0,0
A2,2.25,JGR,0,0,0
A2,2.25,JGR,4,8,19
A2;;;;;
A2,1.75,JGR,0,5,9
A2,3.33333333333333,JGR,1.5,8,8
A2,2.83333333333333,JGR,0,0,0
A2,3.08333333333333,JGR,0,4,19
A3,3.08333333333333,JGR,0,20,19
A2,2.33333333333333,JGR,0,0,9
B1,15.6666666666667,ADU,0,0,19
A2,16.8333333333333,ADU,0,0,19
A3,8.91666666666667,ADU,9.5,23,19
A2,5.83333333333333,ADU,5,11,9
A3,5.41666666666667,ADU,0,0,19
A2,3.66666666666667,ADU,0,0,19
A2,3.58333333333333,ADU,0,0,0
A2,3.25,ADU,2,12,14
A2,2.83333333333333,ADU,3,4,0
A2,2.83333333333333,ADU,0,0,19
A2,1.33333333333333,ADU,0,0,19
A2,1.33333333333333,ADU,0,10,9
B1,8.75,NAY,0,0,0
A2,1.33333333333333,NAY,0,0,0
A2,2,NAY,0,13,19
A2,4.41666666666667,NAY,0,0,0
A1,1.91666666666667,NAY,0,13,19
A2,2.91666666666667,NAY,0,0,0
A3,15.5833333333333,NAY,0,0,0
A2,3.5,NAY,0,0,0
A2,2.16666666666667,NAY,2.5,4.5,0
A1,1.41666666666667,NAY,0,11,19
A2,1.75,NAY,0,13.5,19
A1,3.08333333333333,NAY,0,0,0
A2;;;;;
A2,0.833333333333333,NAY,0,0,0
B1,6.5,SCN,1,7,7
